Field,Action,Processing Action,Number of Slashes
accessibilityModule/amenities/0/description,Do Not Import,None,3
accessibilityModule/amenities/0/id,Do Not Import,None,3
accessibilityModule/amenities/0/isPresent,Do Not Import,None,3
accessibilityModule/amenities/0/name,Do Not Import,None,3
accessibilityModule/amenities/1/description,Do Not Import,None,3
accessibilityModule/amenities/1/id,Do Not Import,None,3
accessibilityModule/amenities/1/isPresent,Do Not Import,None,3
accessibilityModule/amenities/1/name,Do Not Import,None,3
accessibilityModule/amenities/2/description,Do Not Import,None,3
accessibilityModule/amenities/2/id,Do Not Import,None,3
accessibilityModule/amenities/2/isPresent,Do Not Import,None,3
accessibilityModule/amenities/2/name,Do Not Import,None,3
accessibilityModule/amenities/3/description,Do Not Import,None,3
accessibilityModule/amenities/3/id,Do Not Import,None,3
accessibilityModule/amenities/3/isPresent,Do Not Import,None,3
accessibilityModule/amenities/3/name,Do Not Import,None,3
accessibilityModule/amenities/4/description,Do Not Import,None,3
accessibilityModule/amenities/4/id,Do Not Import,None,3
accessibilityModule/amenities/4/isPresent,Do Not Import,None,3
accessibilityModule/amenities/4/name,Do Not Import,None,3
accessibilityModule/amenities/5/description,Do Not Import,None,3
accessibilityModule/amenities/5/id,Do Not Import,None,3
accessibilityModule/amenities/5/isPresent,Do Not Import,None,3
accessibilityModule/amenities/5/name,Do Not Import,None,3
accessibilityModule/amenities/6/description,Do Not Import,None,3
accessibilityModule/amenities/6/id,Do Not Import,None,3
accessibilityModule/amenities/6/isPresent,Do Not Import,None,3
accessibilityModule/amenities/6/name,Do Not Import,None,3
accessibilityModule/amenities/7/description,Do Not Import,None,3
accessibilityModule/amenities/7/id,Do Not Import,None,3
accessibilityModule/amenities/7/isPresent,Do Not Import,None,3
accessibilityModule/amenities/7/name,Do Not Import,None,3
accessibilityModule/amenities/8/description,Do Not Import,None,3
accessibilityModule/amenities/8/id,Do Not Import,None,3
accessibilityModule/amenities/8/isPresent,Do Not Import,None,3
accessibilityModule/amenities/8/name,Do Not Import,None,3
accessibilityModule/rootHighlights/0,Do Not Import,None,2
accessibilityModule/rootHighlights/1,Do Not Import,None,2
accessibilityModule/rootHighlights/2,Do Not Import,None,2
accessibilityModule/seeAllSections/0/amenityIds/0,Do Not Import,None,4
accessibilityModule/seeAllSections/0/amenityIds/1,Do Not Import,None,4
accessibilityModule/seeAllSections/0/amenityIds/2,Do Not Import,None,4
accessibilityModule/seeAllSections/0/amenityIds/3,Do Not Import,None,4
accessibilityModule/seeAllSections/0/amenityIds/4,Do Not Import,None,4
accessibilityModule/seeAllSections/0/id,Do Not Import,None,3
accessibilityModule/seeAllSections/0/photos/0/caption,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/0/id,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/0/largeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/0/thumbnailUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/0/xLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/0/xxLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/caption,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/id,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/largeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/thumbnailUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/xLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/1/xxLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/caption,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/id,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/largeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/thumbnailUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/xLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/2/xxLargeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/3/caption,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/3/id,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/3/largeUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/3/thumbnailUrl,Do Not Import,None,5
accessibilityModule/seeAllSections/0/photos/3/xLargeUrl,Do Not Import,None,5
